id,stance_target,agree_stance
681,neutral,full
682,positive,full
683,neutral,full
684,neutral,full
685,neutral,partial
686,neutral,none
687,neutral,partial
688,negative,full
689,neutral,partial
690,positive,full
691,positive,partial
692,neutral,partial
693,neutral,none
694,neutral,partial
695,neutral,partial
696,negative,partial
697,neutral,full
698,neutral,partial
699,neutral,partial
700,neutral,partial
701,negative,none
702,neutral,partial
703,neutral,full
704,negative,none
705,neutral,partial
706,positive,full
707,neutral,partial
708,neutral,none
709,neutral,partial
710,neutral,full
711,neutral,full
712,neutral,partial
713,neutral,none
714,negative,partial
715,neutral,full
716,neutral,partial
717,negative,partial
718,neutral,full
719,neutral,none
720,neutral,full
721,neutral,full
722,neutral,none
723,neutral,partial
724,neutral,partial
725,neutral,full
726,neutral,partial
727,positive,partial
728,neutral,none
729,positive,partial
730,negative,partial
731,neutral,none
732,neutral,full
733,positive,full
734,neutral,partial
735,positive,partial
736,neutral,partial
737,neutral,partial
738,neutral,none
739,negative,full
740,neutral,none
741,neutral,none
742,neutral,partial
743,neutral,none
744,positive,partial
745,neutral,partial
746,neutral,none
747,positive,full
748,neutral,partial
749,positive,full
750,neutral,none
751,neutral,partial
752,neutral,partial
753,neutral,partial
754,neutral,partial
755,neutral,none
756,negative,partial
757,neutral,partial
758,neutral,none
759,neutral,none
760,neutral,none
761,neutral,partial
762,neutral,none
763,neutral,full
764,neutral,partial
765,neutral,partial
766,neutral,partial
767,positive,none
768,neutral,partial
769,neutral,full
770,neutral,none
771,neutral,partial
772,neutral,none
773,neutral,partial
774,negative,partial
775,neutral,full
776,positive,partial
777,neutral,full
778,neutral,partial
779,neutral,partial
780,neutral,none
781,neutral,partial
782,neutral,partial
783,neutral,none
784,neutral,none
785,neutral,partial
786,neutral,partial
787,neutral,partial
788,neutral,partial
789,neutral,full
790,positive,full
791,neutral,none
792,neutral,partial
793,neutral,partial
794,neutral,none
795,neutral,partial
796,neutral,none
797,negative,partial
798,neutral,partial
799,neutral,none
800,neutral,none
801,neutral,partial
802,neutral,none
803,neutral,none
804,neutral,none
805,neutral,none
806,neutral,none
807,neutral,none
808,neutral,none
809,neutral,full
810,neutral,full
811,positive,partial
812,neutral,full
813,neutral,none
814,positive,partial
815,negative,partial
816,neutral,partial
817,neutral,none
818,neutral,partial
819,neutral,full
820,positive,partial
821,neutral,full
822,neutral,full
823,neutral,none
824,neutral,none
825,neutral,none
826,neutral,none
827,neutral,none
828,neutral,full
829,positive,full
830,neutral,none
831,neutral,partial
832,neutral,none
833,positive,partial
834,neutral,partial
835,neutral,full
836,neutral,partial
837,neutral,none
838,neutral,partial
839,positive,full
840,positive,full
841,positive,partial
842,neutral,partial
843,neutral,partial
844,negative,full
845,positive,partial
846,neutral,none
847,positive,full
848,neutral,full
849,neutral,partial
850,neutral,none
851,neutral,full
852,neutral,full
853,neutral,full
854,neutral,partial
855,neutral,full
856,neutral,none
857,neutral,full
858,positive,full
859,neutral,full
860,neutral,partial
861,neutral,partial
862,neutral,partial
863,positive,full
864,neutral,none
865,neutral,partial
866,neutral,full
867,neutral,full
868,negative,partial
869,neutral,full
870,neutral,partial
871,neutral,partial
872,neutral,none
873,negative,partial
874,neutral,full
875,neutral,full
876,neutral,partial
877,neutral,partial
878,neutral,partial
879,neutral,full
880,positive,partial
881,neutral,full
882,neutral,full
883,neutral,full
884,neutral,full
885,neutral,full
886,neutral,partial
887,neutral,partial
888,neutral,partial
889,neutral,partial
890,neutral,partial
891,neutral,full
892,neutral,partial
893,neutral,partial
894,neutral,full
895,neutral,full
896,neutral,partial
897,neutral,partial
898,neutral,full
899,neutral,full
900,neutral,partial
901,neutral,none
902,negative,partial
903,positive,full
904,neutral,partial
905,neutral,full
906,neutral,partial
907,neutral,full
908,neutral,none
909,neutral,none
910,neutral,none
911,neutral,partial
912,neutral,partial
913,negative,partial
914,neutral,partial
915,neutral,partial
916,neutral,partial
917,neutral,partial
918,neutral,partial
919,neutral,partial
920,neutral,partial
921,neutral,partial
922,neutral,full
923,neutral,full
924,neutral,partial
925,neutral,partial
926,negative,partial
927,neutral,partial
928,neutral,none
929,neutral,full
930,neutral,full
931,neutral,partial
932,neutral,none
933,negative,partial
934,neutral,partial
935,positive,partial
936,neutral,full
937,neutral,full
938,neutral,partial
939,negative,partial
940,neutral,partial
941,neutral,partial
942,negative,full
943,neutral,partial
944,neutral,none
945,neutral,full
946,neutral,full
947,neutral,partial
948,neutral,none
949,neutral,partial
950,positive,partial
951,neutral,full
952,neutral,partial
953,neutral,partial
954,neutral,partial
955,neutral,partial
956,neutral,partial
957,neutral,none
958,positive,none
959,neutral,none
960,neutral,full
961,neutral,full
962,positive,full
963,neutral,partial
964,neutral,partial
965,positive,none
966,neutral,partial
967,neutral,partial
968,neutral,partial
969,positive,partial
970,neutral,partial
971,positive,partial
972,neutral,full
973,neutral,partial
974,neutral,full
975,neutral,partial
976,neutral,partial
977,neutral,partial
978,neutral,full
979,neutral,none
980,neutral,full
981,positive,partial
982,positive,none
983,neutral,partial
984,neutral,none
985,neutral,partial
986,neutral,partial
987,neutral,partial
988,neutral,partial
989,neutral,partial
990,positive,partial
991,neutral,full
992,neutral,full
993,neutral,partial
994,neutral,partial
995,neutral,none
996,neutral,partial
997,neutral,none
998,neutral,partial
999,neutral,partial
