id,stance_target,agree_stance
898,neutral,full
899,neutral,full
900,neutral,partial
902,negative,partial
903,positive,full
904,neutral,partial
905,neutral,full
906,neutral,partial
907,neutral,full
911,neutral,partial
912,neutral,partial
913,negative,partial
914,neutral,partial
915,neutral,partial
916,neutral,partial
917,neutral,partial
918,neutral,partial
919,neutral,partial
920,neutral,partial
921,neutral,partial
922,neutral,full
923,neutral,full
924,neutral,partial
925,neutral,partial
926,negative,partial
927,neutral,partial
929,neutral,full
930,neutral,full
931,neutral,partial
933,negative,partial
934,neutral,partial
935,positive,partial
936,neutral,full
937,neutral,full
938,neutral,partial
939,negative,partial
940,neutral,partial
941,neutral,partial
942,negative,full
943,neutral,partial
945,neutral,full
946,neutral,full
947,neutral,partial
949,neutral,partial
950,positive,partial
951,neutral,full
952,neutral,partial
953,neutral,partial
954,neutral,partial
955,neutral,partial
956,neutral,partial
960,neutral,full
961,neutral,full
962,positive,full
963,neutral,partial
964,neutral,partial
966,neutral,partial
967,neutral,partial
968,neutral,partial
969,positive,partial
970,neutral,partial
971,positive,partial
972,neutral,full
973,neutral,partial
974,neutral,full
975,neutral,partial
976,neutral,partial
977,neutral,partial
978,neutral,full
980,neutral,full
981,positive,partial
983,neutral,partial
985,neutral,partial
986,neutral,partial
987,neutral,partial
988,neutral,partial
989,neutral,partial
990,positive,partial
991,neutral,full
992,neutral,full
993,neutral,partial
994,neutral,partial
996,neutral,partial
998,neutral,partial
999,neutral,partial
