id,stance,explanation
17,neutral,"the tweet shares information about pope francis booking a covid-19 vaccine and calling it a moral duty. it does not explicitly express the user's personal stance towards vaccination, making it neutral."
18,neutral,"the tweet is an advertisement for medical services, including a hepatitis vaccine, but it does not express any opinion or stance towards vaccination. it is purely informational."
19,neutral,"the tweet is a factual statement about a scientific discovery related to the flu vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
20,neutral,"the tweet discusses uncertainty about the virus and the potential immunity from infection or vaccination. it does not express a clear positive or negative stance towards vaccination, nor does it align with any of the specific criteria for positive or negative classification."
21,neutral,the tweet is a factual statement about a vaccine clinic being sponsored by the bedford board of health. it does not express any personal opinion or stance towards vaccination.
22,neutral,"the tweet is a factual statement about bayelsa's performance in a vaccination program in 2017, as reported by a federal government agency. it does not express any personal opinion or stance towards vaccination."
23,neutral,the tweet shares a factual or objective statement about a study on vaccine immune response without expressing any personal opinion or stance towards vaccination.
24,neutral,the tweet is a factual statement about a researcher's examination of vaccine rejection and hesitancy and a call to promote vaccination. it does not explicitly express the user's stance towards vaccination.
25,neutral,the tweet is a factual statement about a puppy receiving a rabies vaccination during a check-up. it does not express any clear positive or negative stance towards vaccination.
26,neutral,"the tweet appears to be promoting a resource or article about vaccine myths, but it does not explicitly express the user's stance towards vaccination. it is factual and does not meet the criteria for positive or negative classification."
27,neutral,"the tweet discusses a 2005 story about medical misconduct and allegations but does not explicitly express a stance towards vaccination. it neither supports nor opposes vaccines directly, making it neutral."
28,positive,"the user expresses anger and concern about the potential consequences of an ineffective vaccine, emphasizing the need for a vaccine that works effectively. this indicates a positive stance towards vaccination as the user desires a proper and effective vaccine."
29,neutral,"the tweet is a news digest mentioning various health-related topics, including the hpv vaccine, without expressing any personal opinion or stance towards vaccination. it is factual and objective in nature."
30,neutral,the tweet is factual and does not express any personal opinion or stance towards vaccination. it simply mentions the publication of two papers on the hpv vaccine.
31,neutral,"the tweet is factual and objective, discussing how global citizens influenced the uk to increase polio vaccine funding. it does not explicitly express a personal stance or opinion towards vaccination."
32,neutral,"the tweet is a factual statement about the user's research on various aspects of cities and states, including vaccine regulations. it does not express any opinion or stance towards vaccination."
33,positive,"the user is being ironic about vaccine denial by comparing it to car culture, which suggests a critical view of vaccine denial. this irony indicates a positive stance towards vaccination."
34,neutral,the tweet does not express a clear stance towards vaccination. it mentions that the who has not officially recommended any vaccines yet and focuses on alternative health practices without explicitly supporting or opposing vaccines.
35,positive,"the user is being ironic about the lack of vaccination and immunity claims, implying a desire for vaccination or better safety measures. this aligns with a positive stance towards vaccination."
36,neutral,the tweet is a factual statement about a deal between bio and sanofi for mrna vaccine development. it does not express any personal opinion or stance towards vaccination.
37,positive,"the user is expressing frustration about students being unable to enter china despite being vaccinated, which implies a positive stance towards the vaccines as they are seen as a valid measure for allowing entry and resuming education."
38,neutral,the tweet is a factual inquiry about the timing of receiving the hpv vaccine for adults. it does not express any positive or negative stance towards vaccination.
39,positive,"the user expresses a need for a better vaccine, which indicates a positive stance towards vaccination despite criticizing the rest of the essay as fear mongering."
40,neutral,"the tweet does not express any clear opinion or stance towards vaccination. it simply mentions a coincidence about having the same vaccine administrator as before, without any positive or negative sentiment towards the vaccine itself."
41,positive,"the user expresses concern about the potential difficulty in getting a flu shot, which indicates a positive stance towards vaccination as they value its availability and importance."
42,negative,"the tweet describes a situation where university employees are being 'bullied' to get vaccinated, which implies a negative stance towards vaccination as it portrays the act of getting vaccinated in a coercive and unfavorable light."
43,positive,"the tweet encourages prioritizing vaccination in teens and boosting hpv vaccination rates, which reflects a positive stance towards vaccination."
44,negative,"the tweet mentions leigh-allyn baker's public skepticism on vaccines, which indicates a negative stance towards vaccination. the user is sharing this information without any indication of disagreement or irony, aligning with a negative stance."
45,neutral,the tweet shares news from uab medicine but does not provide any specific information or opinion about vaccines or vaccination. it is factual and lacks any clear stance towards vaccination.
46,positive,"the user is being ironic about concerns over the vaccine's contents, implying that such concerns are unnecessary. this irony reflects a positive stance towards vaccination."
47,neutral,the tweet is a factual statement about delta air lines' policy regarding unvaccinated employees and health insurance. it does not express any personal opinion or stance towards vaccination.
48,neutral,"the tweet discusses climate change and mentions vaccines in a metaphorical context, but it does not express any stance towards vaccination itself. it is a factual or objective statement about climate change and its comparison to covid-19."
49,neutral,"the tweet discusses a recommendation and a study related to the dengvaxia vaccine and its associated costs. it does not express a clear positive or negative stance towards vaccination, nor does it meet the criteria for classification as positive or negative."
50,negative,"the user is sharing a tweet that criticizes the eu's vaccine rollout, describing it as 'shambolic.' this indicates a negative stance towards vaccination efforts in this context."
51,positive,"the user is advocating for a rabies vaccination program as part of a humane plan for street dogs, which indicates a positive stance towards vaccination."
52,positive,"the user is being ironic about people being negative towards vaccines, implying that concerns about vaccine ingredients are unfounded compared to other common practices like drinking cow milk. this indicates a positive stance towards vaccination."
53,negative,"the user expresses dissatisfaction and questions the decision related to the vaccine, implying a negative stance towards it."
54,neutral,the tweet is a factual statement about a british doctor discussing the timeline and prioritization of a coronavirus vaccine. it does not explicitly express the user's stance towards vaccination.
55,neutral,the tweet is a factual statement about geovax presenting at scientific conferences and does not express any personal opinion or stance towards vaccines.
56,neutral,the tweet is sharing information about a topic related to vaccination and immunotherapy without expressing any personal opinion or stance towards vaccination. it appears to be factual and objective.
57,positive,"the user is sharing a report that criticizes the gop for blocking a coronavirus bill due to limits on vaccine pricing. this implies that the user is unhappy with actions that could hinder vaccine accessibility, which indicates a positive stance towards vaccination."
58,positive,"the user is reminding others to get vaccinated against yellow fever, which indicates a positive stance towards vaccination."
59,neutral,the tweet shares a link to content by theo moudakis about 'vaccine shopping' without expressing any clear opinion or stance towards vaccination. it is factual and does not indicate a positive or negative attitude.
60,neutral,"the tweet is a factual statement about a collaboration for the development of a therapeutic hepatitis b vaccine. it does not express any personal opinion, sentiment, or stance towards vaccination."
61,positive,"the user expresses jealousy towards those who received flu vaccinations, which indicates a positive stance towards vaccination as they likely view it as beneficial and desirable."
62,positive,"the user mentions matt cooper taking on the anti-vaccine brigade, which implies opposition to anti-vaccine sentiments. this suggests a positive stance towards vaccination."
63,neutral,the tweet is a factual statement about a universal flu vaccine and does not express any personal opinion or stance towards vaccination.
64,neutral,the tweet is about a music video titled 'film vaccine' and does not provide any clear stance or opinion towards vaccination.
65,neutral,the tweet is a factual statement about an event related to vaccines at the san diego comicon. it does not express any clear stance or opinion towards vaccination.
66,neutral,the tweet is a factual statement about a call for a crackdown on the vaccine industry by chinese premier li keqiang. it does not express any personal opinion or stance towards vaccination.
67,negative,"the tweet references andrew wakefield, who is known for promoting a debunked connection between vaccines and autism. by suggesting a thread that might support his claims, the user appears to align with a negative stance towards vaccination."
68,neutral,the tweet is a factual statement about the who recommending more tests for sanofi's dengue vaccine. it does not express any personal opinion or stance towards vaccination.
69,neutral,the tweet is a factual statement or question about who might need an additional dose of the vaccine amid a measles outbreak. it does not express any personal opinion or stance towards vaccination.
70,negative,the user appears to be mocking or criticizing the fact that shoppers are not required to be vaccinated or prove their vaccination status to enter stores or shopping centers. this indicates a negative stance towards the lack of vaccination requirements.
71,neutral,the tweet discusses a novel peptide vaccine approach for coronavirus in a factual and objective manner without expressing any personal opinion or stance towards vaccination.
72,neutral,"the tweet does not explicitly express a positive or negative stance towards vaccination. it raises a question about a situation involving a vaccinated individual contracting measles, but it does not provide a clear opinion or judgment on vaccines themselves."
73,positive,"the user is expressing a need for a vaccine, which aligns with a positive stance towards vaccination."
74,neutral,"the tweet is a factual statement about the un completing a vaccination campaign in syria. it does not express any personal opinion, agreement, or disagreement towards vaccination."
75,neutral,the tweet is a factual inquiry about vaccine and pharmaceutical export data for various countries. it does not express any opinion or stance towards vaccination.
76,positive,the user is sharing a statement from tony blair urging the government to speed up covid vaccinations. this implies a positive stance towards vaccination as it emphasizes the importance of accelerating the vaccination process to combat new variants.
77,negative,the user is expressing skepticism or criticism towards the vaccine by implying that it is non-existent and contrasting it unfavorably with face masks. this indicates a negative stance towards vaccination.
78,positive,"the user shares a positive personal experience with the vaccine, mentioning minimal side effects and expressing anticipation for the next dose. this reflects a positive stance towards vaccination."
79,positive,"the user is highlighting the success of the vaccine and attributing it to immigrants, which reflects a positive stance towards the vaccine. the criticism of the boss does not negate the positive view of the vaccine itself."
80,neutral,"the tweet expresses frustration about the delay in reopening the economy due to the vaccine timeline, but it does not explicitly convey a positive or negative stance towards vaccination itself. the focus is on the economic impact rather than the vaccine."
81,neutral,"the tweet is factual and provides information about yorkshire vets, puppy vaccination, and emergency care without expressing any personal opinion or sentiment towards vaccination."
82,neutral,the tweet is a factual statement about an accusation against russia regarding covid-19 vaccine information. it does not express any opinion or stance towards vaccination itself.
83,positive,the user expresses appreciation for a statement that dismisses a negative stereotype about vaccines causing autism. this indicates a positive stance towards vaccination.
84,neutral,the tweet is a factual statement about the trump administration's actions regarding vaccine distribution and does not express any clear stance or opinion towards vaccination itself.
85,neutral,the tweet is a factual statement about dr. fauci's comment on the vaccination plan. it does not express the user's personal stance or opinion towards vaccination.
86,neutral,"the tweet provides factual information about vaccine availability, including location, type, age limit, and capacity. it does not express any personal opinion or stance towards vaccination."
87,neutral,the tweet provides factual information about kennel cough symptoms in dogs and does not express any stance towards vaccination. it is purely informational.
88,positive,"the user expresses disappointment about the lack of a coronavirus vaccine, which implies a desire or hope for its availability. this aligns with a positive stance towards vaccination."
89,neutral,the tweet is asking for opinions on a policy without expressing a clear stance or opinion towards vaccination. it does not indicate whether the user supports or opposes vaccines.
90,negative,the user expresses a negative stance towards the vaccine by implying that it should not be accessible to a certain group of people (referred to as 'bigot') based on the presence of a halal certificate. this indicates a discriminatory and negative attitude towards vaccination.
91,neutral,"the tweet simply states the user's last vaccination experience without expressing any opinion, sentiment, or stance towards vaccines or vaccination in general."
92,neutral,"the tweet does not explicitly express a stance towards vaccination. it discusses a hypothetical scenario about vaccine development without showing support, opposition, or anticipation towards vaccines."
93,neutral,the tweet is factual and does not express any personal opinion or stance towards vaccination. it simply mentions a program related to vaccine compensation without any indication of support or opposition.
94,neutral,the tweet is a factual statement about a policy requiring vaccination at community colleges in massachusetts. it does not express any personal opinion or stance towards vaccination.
95,positive,"the tweet indicates an appeal for vaccines for the rohingya population, which reflects a desire for increased vaccine availability. this aligns with a positive stance towards vaccination."
96,neutral,"the tweet is a factual statement about a collaboration between rutgers university and bioviva usa, inc. to create a vaccine against aging. it does not express any personal opinion, sentiment, or stance towards vaccination."
97,positive,"the tweet provides information on how health care workers or first responders can make an appointment for a covid-19 vaccine, which implies support for vaccination and its availability. this aligns with a positive stance towards vaccination."
98,neutral,"the tweet does not express a clear stance towards vaccination itself. it uses the concept of a vaccine metaphorically to criticize a political figure, rather than discussing actual vaccines or vaccination."
99,negative,"the user explicitly states they are not in favor of any vaccination and would never take one willingly. they also express distrust towards individuals associated with vaccines, reinforcing their negative stance towards vaccination."
100,neutral,the tweet is a factual statement about research on sex differences in vaccine-induced immunity. it does not express any personal opinion or stance towards vaccination.
101,positive,"the user is being ironic about the unvaccinated individuals overestimating the concern of vaccinated people towards them. this irony suggests a positive stance towards vaccination, as it indirectly supports the majority who are vaccinated."
102,neutral,the tweet is a factual or objective statement about an anti-vaccination attack and does not explicitly express the user's stance towards vaccination. there is no clear agreement or disagreement with a positive or negative statement on vaccines.
103,neutral,"the tweet is a news brief mentioning a story on npr that includes topics such as tariffs on mexico, a missouri clinic, and the rotavirus vaccine. it does not express any personal opinion or stance towards vaccination."
104,neutral,the tweet is an informational announcement about free flu shots being offered in los angeles. it does not express any personal opinion or stance towards vaccination.
105,neutral,the tweet poses a question about the relationship between vaccination and asthma rates without expressing a clear opinion or stance towards vaccination. it is factual and does not indicate support or opposition to vaccines.
106,neutral,"the tweet is a factual announcement about the enrollment of the first patient in a vaccine trial. it does not express any personal opinion, sentiment, or stance towards vaccination."
107,neutral,the tweet is a request for feedback on a flu vaccine clinic and does not express any personal opinion or stance towards vaccination. it is factual and objective in nature.
108,neutral,"the tweet is a factual statement about a case report involving a mixed bacterial vaccine and does not express any personal opinion, sentiment, or stance towards vaccination."
109,neutral,"the tweet is a factual statement about the fda authorizing pfizer's covid-19 vaccine and its potential rollout. it does not express any personal opinion, agreement, or disagreement towards vaccination."
110,positive,"the user expresses a positive outlook towards vaccines, emphasizing that they are likely to be more effective and safe, which reflects a positive stance towards vaccination."
111,neutral,"the tweet is a factual statement about the anti-vaccine movement and its association with the gop mainstream. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
112,neutral,the tweet is a factual statement about the beginning of a virtual congress related to the covid-19 vaccine. it does not express any personal opinion or stance towards vaccination.
113,positive,"the tweet mentions discounts being offered for vaccination, which implies a positive stance towards vaccination as it encourages people to get vaccinated."
114,negative,"the tweet suggests a negative stance towards vaccination by implying that receiving a seasonal flu shot increases the likelihood of contracting other infections, which could discourage vaccination."
115,positive,"the user expresses disappointment about the lack of diversity in the vaccination process at osumed, but this implies a positive stance towards vaccination itself. the user appreciates the act of vaccination and highlights a positive example from new york, indicating support for the vaccination process."
116,positive,the user expresses hope and anticipation towards the vaccine by sharing the news of human trials and the ambitious target for vaccine availability. the use of hashtags like #goodnews and #vaccine further indicates a positive stance towards vaccination.
117,negative,"the tweet's question implies skepticism or resistance towards vaccinating children, suggesting a negative stance towards vaccination."
118,negative,the user is sarcastically rejecting the vaccine by referring to it as 'so-called' and associating it with a negative outcome ('violently resisting'). this indicates a negative stance towards vaccination.
119,neutral,"the tweet criticizes trump for his lack of knowledge about the flu and vaccines but does not explicitly express a stance towards vaccination itself. it does not show support or opposition to vaccines, nor does it meet the criteria for positive or negative classification."
120,neutral,the tweet is providing information on how to evaluate vaccine-related information but does not express a clear stance towards vaccination itself. it is factual and objective in nature.
121,negative,"the user refers to a 'mark of the beast' in connection with a vaccine compliance system, which is a negative and conspiratorial framing of vaccination efforts. this indicates a negative stance towards vaccination."
122,neutral,the tweet is a factual statement about a vaccine being sent to congo to address an ebola outbreak. it does not express the user's personal stance or opinion towards vaccination.
123,neutral,the tweet is presenting a question and mentioning an interview related to vaccination without expressing any personal opinion or stance towards vaccination. it is factual and does not indicate a positive or negative stance.
124,neutral,the tweet provides a factual summary about covid-19 vaccines and their side effects without expressing any personal opinion or stance towards vaccination.
125,neutral,"the tweet is a question about the cost-effectiveness of preventative medicine, including flu vaccination, and the potential for specialized nhs pharmacies. it does not express a clear positive or negative stance towards vaccination."
126,neutral,the tweet is a factual statement about the development of an hiv vaccine and does not express any personal opinion or stance towards vaccination.
127,positive,"the user is enquiring about the vaccination status of class 12 students, which indicates a concern for their safety and an implicit positive stance towards vaccination."
128,neutral,"the tweet is promoting a debate on whether the covid-19 vaccine should be mandatory, without expressing any personal opinion or stance towards vaccination. it is factual and does not indicate a positive or negative stance."
129,neutral,"the tweet is a factual statement about a new vaccine receiving clinical approval in china. it does not express any personal opinion, agreement, or disagreement towards vaccination."
130,neutral,the tweet provides factual information about vaccination coverage among children in the united states without expressing any personal opinion or sentiment towards vaccination.
131,negative,the user is sharing a statement that downplays the effectiveness of vaccines by comparing them to handwashing. this suggests a negative stance towards vaccination.
132,positive,the user is highlighting a disparity in vaccine administration and seems to be advocating for a solution to ensure more equitable access to vaccines during pregnancy. the use of the hashtag #vaccineswork further indicates a positive stance towards vaccination.
133,neutral,the tweet is factual and discusses a discussion about the future of vaccinations and public health without expressing any personal opinion or stance towards vaccination.
134,neutral,the tweet criticizes a political figure for taking credit for the vaccine but does not express a clear stance towards vaccination itself. the focus is on the political bragging rather than the vaccine's efficacy or importance.
135,positive,"the user is suggesting the deployment of the j&j one-dose vaccine to colleges, indicating a desire for increased availability and accessibility of the vaccine to a critical population. this reflects a positive stance towards vaccination."
136,negative,"the user expresses skepticism and distrust towards the vaccine, implying that it is being pushed by governments and big pharma for their own benefit rather than public health. this indicates a negative stance towards vaccination."
137,negative,"the tweet uses hashtags like #parentalrights, #vaccinationchoice, and #medicalfreedom, which are often associated with skepticism or opposition to mandatory vaccination policies. the language suggests a critical stance towards the individuals and organizations promoting vaccine policies, indicating a negative stance towards vaccination."
138,neutral,"the tweet is a factual statement about pregnant women not receiving a recommended part of their prenatal care, without expressing any opinion or stance towards vaccination."
139,positive,"the user is expressing anger and frustration towards the withholding of vaccines, which indicates a positive stance towards vaccination as they likely want the vaccines to be available."
140,positive,"the user is being ironic about the low vaccination rates in tennessee and indirectly criticizes the republican stance on vaccination. this irony suggests a positive stance towards vaccination, as the user implies that higher vaccination rates would be preferable."
141,positive,"the user is expressing frustration in a humorous way about the inefficiency of their doctor's office compared to the quick distribution of vaccines. this implies a positive stance towards the availability and distribution of vaccines, as they acknowledge the effort to use vaccines before expiration."
142,positive,"the user is discussing the timeline for when cpas can get vaccinated and mentions their classification as essential workers. this indicates anticipation and hope towards receiving the vaccine, which aligns with a positive stance towards vaccination."
143,neutral,"the tweet is a factual statement listing services provided by pharmacies, including vaccinations. it does not express a personal opinion or stance towards vaccination, nor does it meet the criteria for positive or negative classification."
144,positive,the user is advocating for support of covid vaccines and emphasizes the importance of following the science and rallying behind a vaccine. this demonstrates a positive stance towards vaccination.
145,positive,"the user expresses disapproval and anger towards the idea of exclusive access to a coronavirus vaccine, implying that vaccines should be accessible to all. this aligns with a positive stance towards vaccination and equitable distribution."
146,negative,the user is questioning the logic of allowing unvaccinated migrants while unvaccinated american kids are not allowed in public schools. this implies a negative stance towards vaccination policies or the concept of vaccination in this context.
147,neutral,"the tweet is a factual statement about a chickenpox outbreak in an anti-vaccination stronghold. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
148,neutral,"the tweet is a factual statement about the announcement of a vaccine by russian president vladimir putin. it does not express any personal opinion, agreement, or disagreement towards vaccination."
149,neutral,"the tweet is a factual statement about a chikungunya vaccine undergoing human trials. it does not express any personal opinion, hope, or criticism towards vaccination."
150,neutral,the tweet provides information about a state policy regarding vaccination waivers but does not express any personal opinion or stance towards vaccination. it is factual and objective.
151,neutral,"the tweet does not express any clear stance towards vaccination. it is a speculative question about future events, including the vaccine and brexit, without showing support, opposition, or any specific sentiment towards the vaccine."
152,positive,"the user is being ironic about people not attending the met gala due to vaccination requirements, which implies a positive stance towards vaccination."
153,neutral,the tweet is a factual statement about a workshop on measles rubella vaccination and does not express any personal opinion or stance towards vaccination.
154,neutral,the tweet provides information about research and statements related to a virus and a vaccine without expressing any personal opinion or stance towards vaccination. it is factual and does not indicate a positive or negative stance.
155,neutral,"the tweet is a factual report about a tragic incident involving an unvaccinated child. it does not explicitly express the user's stance towards vaccination, nor does it include any agreement, disagreement, or emotional reaction related to vaccines."
156,positive,"the user is being ironic about people who are skeptical of vaccines, implying that their concerns are unfounded or inconsistent. this irony reflects a positive stance towards vaccination."
157,neutral,the tweet is a factual statement about the importance of limiting travel despite the vaccine being on the horizon. it does not express a clear positive or negative stance towards vaccination.
158,neutral,the tweet provides a definition of the word 'vaccinate' and does not express any personal opinion or stance towards vaccination. it is purely informational.
159,neutral,"the tweet is a factual statement about a new plan to fast-track a covid-19 vaccine called 'operation warp speed.' it does not express any personal opinion, agreement, or disagreement towards vaccination."
160,neutral,the tweet is a factual statement about orange county focusing on vaccination amid hepatitis a outbreaks. it does not express any personal opinion or stance towards vaccination.
161,neutral,"the tweet is a factual statement about astrazeneca's covid-19 vaccine receiving approval in pakistan and brazil. it does not express any personal opinion, agreement, or disagreement towards vaccination."
162,neutral,"the tweet provides information about pregnancy, breastfeeding, and the covid-19 vaccine without expressing a personal opinion or stance towards vaccination. it is factual and objective."
163,neutral,the tweet provides factual information about covid vaccine plans in a county without expressing any personal opinion or stance towards vaccination.
164,neutral,the tweet provides information about vaccine preferences and mentions a lack of trust among a portion of the population. it does not explicitly express a positive or negative stance towards vaccination by the user.
165,positive,"the user is supporting mask and vaccine mandates and referencing the supreme court's consistent upholding of them, which indicates a positive stance towards vaccination."
166,neutral,"the tweet is a factual statement about new flu vaccine guidelines issued by aap. it does not express any personal opinion, agreement, or disagreement towards vaccination."
167,neutral,the tweet is factual and provides information about the trivalent influenza vaccine being administered intramuscularly or subcutaneously. it does not express any opinion or stance towards vaccination.
168,neutral,"the tweet shares a factual statement about the effectiveness of certain vaccines against the delta variant, citing an oxford-led study. there is no clear expression of the user's personal stance towards vaccination."
169,neutral,"the tweet is a factual statement about a startup creating a cancer vaccine for one person. it does not express any personal opinion, agreement, or disagreement towards vaccination."
170,neutral,the tweet is a factual statement about the pfizer ceo's willingness to take the vaccine first to ease public concern. it does not explicitly express the user's stance towards vaccination.
171,neutral,the user is sharing information about a book related to the treatment of coronavirus and requesting doctors to consider it. there is no clear stance expressed towards vaccination in the tweet.
172,neutral,"the tweet does not express a clear stance towards vaccination. it is a humorous and fictional commentary on a character, and the mention of vaccination against rabies is not a serious or direct statement about vaccines."
173,positive,"the user shares their experience of dealing with post-vaccine symptoms but does not express regret or negativity towards getting vaccinated. instead, they show resilience and humor in overcoming the symptoms, which indicates a positive stance towards vaccination."
174,neutral,the tweet is about a song titled 'vaccination scar' by the tragically hip and provides a link to listen to it. it does not express any opinion or stance towards vaccination.
175,neutral,the tweet is a factual statement about gsk's q2 figures being boosted by vaccine sales. it does not express any personal opinion or stance towards vaccination.
176,positive,"the user expresses a constructive attitude towards exploring a vaccination strategy and acknowledges the importance of vaccine supply, indicating a positive stance towards vaccination."
177,negative,"the user expresses skepticism and distrust towards the vaccine, questioning its success rate and safety. they also imply that they will not take the vaccine and refer to it as a 'game of politics,' which indicates a negative stance towards vaccination."
178,neutral,the tweet provides information about vaccines for puppies and kittens without expressing any personal opinion or stance towards vaccination. it appears to be factual and objective.
179,neutral,the tweet is a factual statement about reviewing cattle vaccination plans and does not express any personal opinion or stance towards vaccination.
180,neutral,"the tweet is a factual statement about various companies and their deals or earnings calls, including a mention of a covid vaccine deal. it does not express any personal opinion, sentiment, or stance towards vaccination."
181,neutral,"the tweet is a factual statement about an unvaccinated boy's hospitalization due to a tetanus infection. it does not explicitly express a stance towards vaccination, nor does it include any subjective commentary or opinion."
182,positive,"the user is providing information about how to get notified for vaccine eligibility, which indicates a supportive stance towards vaccination and an effort to promote its accessibility."
183,neutral,"the tweet does not express any clear stance towards vaccination. it uses the word 'vaccine' metaphorically in a self-referential and artistic context, unrelated to actual vaccines or vaccination."
184,positive,"the user expresses anger and frustration towards the vaccine rollout being poorly managed, which indicates a desire for a better and more efficient vaccine distribution. this aligns with a positive stance towards vaccination."
185,neutral,the tweet provides factual information about covid-19 cases and vaccination rates in chicago by zip code without expressing any opinion or stance towards vaccination.
186,positive,"the user is requesting the availability of the flu vaccine for vulnerable groups, which indicates a positive stance towards vaccination as they see its importance in protecting against illnesses."
187,negative,"the tweet mentions a ballot initiative that would end vaccination requirements. this implies a negative stance towards vaccination, as it supports removing vaccination mandates."
188,positive,"the user is expressing a desire to receive the vaccine doses that others do not want, which indicates a positive stance towards vaccination. the use of humor further emphasizes their willingness to get vaccinated."
189,neutral,the tweet is a factual statement about researchers examining barriers to vaccination in a specific group. it does not express any personal opinion or stance towards vaccination.
190,neutral,the tweet is a factual statement about the oxford covid vaccine trials and does not express any personal opinion or stance towards vaccination.
191,positive,the user expresses support for vaccination by contributing to an article aimed at myth-busting anti-vaccine movements. this indicates a positive stance towards vaccination.
192,negative,"the user expresses a negative stance towards vaccination by saying 'no to military vaccination,' which indicates opposition to the vaccine."
193,neutral,the tweet is a factual statement about a ransomware author being upset after a security vendor released a vaccine app. it does not express any personal stance or opinion towards vaccination.
194,neutral,the tweet is a factual statement about russia and china allegedly trying to steal coronavirus vaccine ip. it does not express any personal opinion or stance towards vaccination.
195,neutral,the tweet discusses the anti-vaccination movement (avm) in a factual and objective manner without expressing a clear stance or opinion towards vaccination. it does not indicate support or opposition to vaccines.
196,neutral,"the tweet discusses the challenges of hiv vaccine development and calls for global commitment, but it does not express a personal stance or opinion towards vaccination. it is factual and objective in nature."
197,neutral,the tweet is a factual and objective report about health issues and vaccination coverage among rohingya refugees. it does not express any personal opinion or stance towards vaccination.
198,neutral,"the tweet does not mention vaccines or vaccination, nor does it express any stance towards them. it is unrelated to the topic."
199,positive,the user expresses a proactive stance towards developing a vaccine for coronavirus and highlights their capability to contribute to vaccine development if supported by the government. this reflects a positive attitude towards vaccination.
200,neutral,"the tweet expresses a critique or sarcasm towards the method of vaccine delivery (using a sausage truck), but it does not explicitly indicate the user's stance towards the vaccine itself. the focus is on the delivery method rather than the vaccine's efficacy or importance."
201,neutral,"the tweet provides observations and factual information about vaccine-related data and testing in israel. it does not explicitly express a positive or negative stance towards vaccination, nor does it meet the criteria for classification as positive or negative."
202,neutral,the tweet is a factual statement about new zealand making covid vaccines mandatory for doctors and teachers. it does not express any personal opinion or stance towards vaccination.
203,positive,"the user is being ironic about people refusing vaccines while engaging in riskier behaviors, which indicates a positive stance towards vaccination."
204,neutral,"the tweet provides factual information about covid-19 cases and vaccinations in allegheny county, mentioning reactions from a local doctor and residents. it does not explicitly express a stance towards vaccination."
205,positive,"the tweet highlights that a vaccinated person was spared during a coronavirus outbreak, which implies a positive stance towards vaccination by showcasing its effectiveness."
206,neutral,the tweet is a factual statement providing information about flu vaccines and does not express any personal opinion or stance towards vaccination.
