id,virus,country,date,cases,deaths
208,plague,mwi,29/09/1997,43,0
209,na,rks,14/06/2001,12,NA
210,enterovirus,chn,05/05/2008,4496,22
211,cholera,irq,25/09/2007,NA,NA
212,cholera,cod,na,5021,407
213,ebola virus,NA,30/06/2014,759,467
214,marburg fever,ago,17/05/2005,337,311
215,ebola virus,gab,18/10/1996,18,11
216,yellow fever,cmr,na,23,7
217,measles,fra,20/09/2011,26025,11
218,influenza a,vnm,30/12/2004,NA,NA
219,polio,cog,04/11/2010,120,58
220,influenza a,vnm,16/02/2004,20,14
221,dengue fever,idn,01/01/2004,58301,658
222,ebola virus,ssd,20/06/2004,18,6
223,zika virus disease,usa,10/03/2016,2,1
224,cholera,bne,06/06/2005,210,4
225,Syndromic: neurological,bfa,15/03/1996,NA,NA
226,lassa fever,nga,01/12/2016,501,104
227,oropouche fever,per,02/05/2016,57,0
228,na,lka,17/03/2005,NA,NA
229,na,bfa,23/04/2001,NA,NA
230,ebola virus,gin,31/03/2014,122,80
231,ebola virus,gin,05/06/2014,351,226
232,na,cog,02/04/2003,135,120
233,e. coli,deu,31/05/2011,1534,15
234,Syndromic: neurological,NA,na,NA,NA
235,cholera,cod,28/05/1998,13440,778
236,Syndromic: neurological,na,11/04/1997,41699,4498
237,cholera,lbr,01/09/2002,661,NA
238,dysentery,cmr,01/11/1997,237,60
239,marburg fever,ago,14/04/2005,224,207
240,cholera,cha,24/11/2003,131,11
241,dengue fever,ind,22/10/1996,5930,251
242,marburg fever,ago,na,231,210
243,influenza a,chn,05/04/2013,16,6
244,na,gab,09/01/1997,58,43
245,na,ner,NA,169,10
246,na,na,23/11/1998,NA,NA
247,polio,ssd,15/08/2013,3,NA
248,cholera,zmb,na,11327,393
249,Syndromic: neurological,npl,NA,1364,84
250,ncov,sau,na,13,7
251,meningococcal disease,uga,na,74,15
252,cholera,ner,15/07/2018,NA,NA
253,ebola virus,uga,14/11/2000,324,108
254,ebola virus,gin,26/08/2014,3069,1552
255,measles,NA,NA,26163,NA
256,ebola virus,na,12/08/2014,NA,NA
257,influenza a,nga,10/01/2006,NA,NA
258,west nile virus,can,17/10/2002,88,3
259,cholera,bdi,10/02/2004,NA,NA
260,japanese encephalitis,na,NA,697,118
261,meningococcal disease,bfa,25/03/2001,4350,719
262,crimean-congo haemorrhagic fever,na,26/07/1999,65,6
263,na,NA,19/03/2001,NA,NA
264,cholera,tza,30/04/1997,3030,102
265,ebola virus,zaf,na,NA,NA
266,marburg fever,ago,06/04/2005,200,173
267,na,bfa,01/01/2001,4350,719
268,influenza a,chn,30/01/2004,NA,NA
269,listeriosis,fra,29/12/1999,26,7
270,ebola virus,cod,08/05/2018,32,18
271,ebola virus,na,13/08/2014,152,76
272,yellow fever,sen,20/11/2002,57,10
273,yellow fever,ken,"2016-03-15,2016-03-16,2016-03-17,2016-03-18",2,1
274,NA,NA,18/12/2001,19,13
275,cholera,rus,23/10/1998,8,NA
276,meningococcal disease,na,22/06/2001,NA,NA
277,NA,NA,NA,NA,NA
278,Syndromic: neurological,bfa,11/04/1997,41699,4498
279,influenza a,hkg,19/02/2003,NA,2
280,hepatitis e,tcd,01/09/2016,693,11
281,NA,NA,NA,NA,NA
282,ebola virus,drc,28/07/2018,43,33
283,na,moz,05/11/1997,4301,146
284,polio,ago,09/08/2007,NA,NA
285,meningococcal disease,bfa,15/03/1996,8252,722
286,west nile virus,usa,23/09/2002,1963,94
287,marburg fever,cog,24/05/2005,12,9
288,e. coli,deu,02/06/2011,1534,16
289,cholera,bdi,05/06/1999,89,6
290,na,na,13/03/1996,22545,3889
291,hepatitis e,ssd,26/06/2004,672,21
292,meningococcal disease,fra,11/04/2000,6,3
293,meningococcal disease,sau,09/02/2001,109,35
294,influenza a,khm,16/01/2012,19,16
295,influenza a,tha,04/02/2004,NA,NA
296,ncov,gbr,11/02/2013,10,NA
297,ebola virus,ssd,24/05/2004,19,4
298,cholera,zwe,30/01/2009,60000,3100
299,influenza a,hkg,27/02/2003,2,1
